infras.cpu,infras.cpu_0,infras.eth0_rcv_byte,infras.eth0_rcv_pkt,infras.eth0_snd_byte,infras.eth0_snd_pkt,infras.eth1_rcv_byte,infras.eth1_rcv_pkt,infras.eth1_snd_byte,infras.eth1_snd_pkt,infras.freeMem,infras.lo_rcv_byte,infras.lo_rcv_pkt,infras.lo_snd_byte,infras.lo_snd_pkt,infras.squid3_proc,infras.upper_rcv_byte,infras.upper_rcv_pkt,infras.upper_snd_byte,infras.upper_snd_pkt,scale,vnf.Available_number_of_file_descriptors,vnf.Average_HTTP_requests_per_minute_since_start,vnf.Average_ICP_messages_per_minute_since_start,vnf.CPU_Time,vnf.Cache_Hits,vnf.Cache_Misses,vnf.DNS_Lookups,vnf.Disk_hits_as_%_of_hit_requests,vnf.Files_queued_for_open,vnf.Free_Ordinary_blocks,vnf.Free_Small_blocks,vnf.HTTP_Requests_(All),vnf.Hits_as_%_of_all_requests,vnf.Hits_as_%_of_bytes_sent,vnf.Holding_blocks,vnf.ICP_Queries,vnf.Largest_file_desc_currently_in_use,vnf.Maximum_Resident_Size,vnf.Maximum_number_of_file_descriptors,vnf.Mean_Object_Size,vnf.Memory_hits_as_%_of_hit_requests,vnf.Near_Hits,vnf.Not-Modified_Replies,vnf.Number_of_HTCP_messages_received,vnf.Number_of_HTCP_messages_sent,vnf.Number_of_HTTP_requests_received,vnf.Number_of_ICP_messages_received,vnf.Number_of_ICP_messages_sent,vnf.Number_of_clients_accessing_cache,vnf.Number_of_file_desc_currently_in_use,vnf.Number_of_queued_ICP_replies,vnf.Ordinary_blocks,vnf.Page_faults_with_physical_i/o,vnf.Process_Data_Segment_Size_via_sbrk(),vnf.Request_failure_ratio,vnf.Requests_given_to_unlinkd,vnf.Reserved_number_of_file_descriptors,vnf.Select_loop_called,vnf.Small_blocks,vnf.Storage_Mem_capacity,vnf.Storage_Mem_size,vnf.Storage_Swap_capacity,vnf.Storage_Swap_size,vnf.Store_Disk_files_open,vnf.Total_accounted,vnf.Total_free,vnf.Total_in_use,vnf.Total_size,vnf.Total_space_in_arena,vnf.UP_Time,vnf.aborted_requests,vnf.average_select_fd_period,vnf.client_http.all_median_svc_time,vnf.client_http.errors,vnf.client_http.hit_median_svc_time,vnf.client_http.hits,vnf.client_http.kbytes_in,vnf.client_http.kbytes_out,vnf.client_http.miss_median_svc_time,vnf.client_http.nh_median_svc_time,vnf.client_http.nm_median_svc_time,vnf.client_http.requests,vnf.cpu_time,vnf.cpu_usage,vnf.dns.median_svc_time,vnf.icp.kbytes_recv,vnf.icp.kbytes_sent,vnf.icp.pkts_recv,vnf.icp.pkts_sent,vnf.icp.q_kbytes_recv,vnf.icp.q_kbytes_sent,vnf.icp.queries_recv,vnf.icp.queries_sent,vnf.icp.query_median_svc_time,vnf.icp.query_timeouts,vnf.icp.r_kbytes_recv,vnf.icp.r_kbytes_sent,vnf.icp.replies_queued,vnf.icp.replies_recv,vnf.icp.replies_sent,vnf.icp.reply_median_svc_time,vnf.median_select_fds,vnf.memPoolAlloc_calls,vnf.memPoolFree_calls,vnf.memPool_accounted,vnf.memPool_unaccounted,vnf.page_faults,vnf.select_fds,vnf.select_loops,vnf.server.all.errors,vnf.server.all.kbytes_in,vnf.server.all.kbytes_out,vnf.server.all.requests,vnf.server.ftp.errors,vnf.server.ftp.kbytes_in,vnf.server.ftp.kbytes_out,vnf.server.ftp.requests,vnf.server.http.errors,vnf.server.http.kbytes_in,vnf.server.http.kbytes_out,vnf.server.http.requests,vnf.server.other.errors,vnf.server.other.kbytes_in,vnf.server.other.kbytes_out,vnf.server.other.requests,vnf.service_time_10sec,vnf.swap.files_cleaned,vnf.swap.ins,vnf.swap.outs,vnf.syscalls.disk.closes,vnf.syscalls.disk.opens,vnf.syscalls.disk.reads,vnf.syscalls.disk.seeks,vnf.syscalls.disk.unlinks,vnf.syscalls.disk.writes,vnf.syscalls.sock.accepts,vnf.syscalls.sock.binds,vnf.syscalls.sock.closes,vnf.syscalls.sock.connects,vnf.syscalls.sock.reads,vnf.syscalls.sock.recvfroms,vnf.syscalls.sock.sendtos,vnf.syscalls.sock.sockets,vnf.syscalls.sock.writes,vnf.time_stamp_sec,vnf.time_stamp_sec_delta,vnf.unlink.requests,vnf.wall_time
17.25000,17.25000,0.00000,0.00000,0.00000,0.00000,15719398.50000,5802.50000,15749150.50000,5782.50000,1873.00000,758.50000,2.00000,758.50000,2.00000,11.75000,5805.00000,5805.00000,13597.00000,5785.00000,0.00000,65525.00000,8339.30000,0.00000,5.91200,0.00000,0.00000,0.00000,0.00000,0.00000,85.00000,0.00000,0.00000,0.00000,0.00000,37408.00000,0.00000,13.00000,87424.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,148.95000,0.00000,0.00000,0.00000,11.00000,0.00000,5403.00000,0.00000,5356.00000,0.00000,0.00000,100.00000,0.14600,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1197.00000,85.00000,85.00000,42896.00000,5488.00000,50.48600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1857856.00000,1859759.00000,1197.00000,41699.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1521256292.00000,10.00000,0.00000,0.00000
21.75000,21.75000,0.00000,0.00000,0.00000,0.00000,24215556.00000,10443.50000,24248470.00000,10363.50000,1868.50000,761.00000,2.00000,761.00000,2.00000,16.25000,10446.00000,10446.00000,21203.50000,10366.00000,0.00000,65525.00000,10170.10000,0.00000,19.95150,0.00000,0.00091,0.00000,0.00000,0.00000,192.50000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,88048.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,229.20000,0.00000,0.00000,0.00000,11.00000,0.00000,5570.50000,0.00000,5636.00000,0.00000,0.00000,100.00000,0.11350,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1354.50000,192.50000,192.50000,43176.00000,5768.00000,146.91700,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,63.01666,15607.16524,0.00091,0.00000,0.00000,155.66665,15.67222,13.06019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6539391.50000,6544085.50000,1354.50000,41818.00000,0.00000,6476.36607,8020.03260,0.00000,15591.44024,73.47499,155.48332,0.00000,0.00000,0.00000,0.00000,0.00000,15591.44024,73.47499,155.48332,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.45000,0.46667,0.00000,0.00000,0.00833,0.00833,155.66665,0.02500,311.16664,155.49165,1395.59987,0.08333,0.00000,155.50832,4618.64124,1521256389.00000,10.00000,0.00000,120.00001
23.25000,23.25000,0.00000,0.00000,0.00000,0.00000,32688104.00000,13355.50000,32734376.50000,13251.00000,1862.50000,761.50000,2.00000,761.50000,2.00000,18.50000,13357.50000,13357.50000,28540.50000,13253.50000,0.00000,65525.00000,12482.95000,0.00000,39.06200,0.00000,0.00091,0.00000,0.00000,0.00000,125.00000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,89952.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,313.80000,0.00000,0.00000,0.00000,11.00000,0.00000,5907.00000,0.00000,5900.00000,0.00000,0.00000,100.00000,0.09850,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1685.50000,125.00000,125.00000,43440.00000,6032.00000,248.52550,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,82.85416,20502.53528,0.00091,0.00000,0.00000,204.44581,37.39644,15.58185,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13534548.50000,13542661.50000,1685.50000,41754.50000,0.00000,8586.23240,10026.00725,0.00000,20482.02278,96.59582,204.25414,0.00000,0.00000,0.00000,0.00000,0.00000,20482.02278,96.59582,204.25414,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.22500,0.23333,0.00000,0.00000,0.00417,0.00417,204.44581,0.01250,408.70829,204.25831,1841.72897,0.06667,0.00000,204.26665,6139.17850,1521256490.50000,10.00000,0.00000,240.00003
22.25000,22.25000,0.00000,0.00000,0.00000,0.00000,23787585.50000,10293.00000,23819686.50000,10194.50000,1857.00000,764.00000,2.00000,764.00000,2.00000,16.50000,10295.00000,10295.00000,20774.50000,10197.50000,0.00000,65525.00000,13588.65000,0.00000,57.68750,0.00000,0.00091,0.00000,0.00000,0.00000,190.50000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,89952.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,223.50000,0.00000,0.00000,0.00000,11.00000,0.00000,5972.00000,0.00000,6036.00000,0.00000,0.00000,100.00000,0.09200,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1753.50000,190.50000,190.50000,43576.00000,6168.00000,350.15450,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,91.63666,22668.20803,0.00091,0.00000,0.00000,226.02331,49.23303,16.41101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20745081.00000,20757986.00000,1753.50000,41818.50000,0.00000,9500.83251,10752.79907,0.00000,22645.58137,106.82999,225.82998,0.00000,0.00000,0.00000,0.00000,0.00000,22645.58137,106.82999,225.82998,0.00000,0.00000,0.00000,0.00000,1.50000,0.00000,0.00000,0.00000,0.18000,0.18667,0.00000,0.00000,0.00333,0.00333,226.02331,0.01000,451.85996,225.83331,2037.17982,0.06333,0.00000,225.83998,6794.97608,1521256592.00000,10.00000,0.00000,300.00003
27.50000,27.50000,0.00000,0.00000,0.00000,0.00000,37828098.50000,15433.50000,37884332.50000,15287.00000,1851.00000,761.50000,2.00000,761.50000,2.00000,21.50000,15436.00000,15436.00000,33014.00000,15288.00000,0.00000,65525.00000,14330.90000,0.00000,78.50750,0.00000,0.00091,0.00000,0.00000,0.00000,352.50000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,91712.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,365.60000,0.00000,0.00000,0.00000,11.00000,0.00000,6046.00000,0.00000,6324.00000,0.00000,0.00000,100.00000,0.08900,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,1818.00000,352.50000,352.50000,43864.00000,6456.00000,451.68550,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,105.37665,26040.81285,0.00091,0.00000,0.00000,259.62996,54.78586,18.26195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28213276.50000,28232133.00000,1818.00000,41987.00000,0.00000,10958.59173,12210.55154,0.00000,26014.88618,122.82998,259.42996,0.00000,0.00000,0.00000,0.00000,0.00000,26014.88618,122.82998,259.42996,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,259.62996,0.00000,519.05992,259.42996,2346.41299,0.05333,0.00000,259.42996,7845.02552,1521256694.00000,10.00000,0.00000,300.00004
34.00000,34.00000,0.00000,0.00000,0.00000,0.00000,54700950.00000,22157.00000,54769601.00000,21965.00000,1841.50000,761.50000,2.00000,761.50000,2.00000,28.25000,22159.50000,22159.50000,47753.50000,21967.50000,0.00000,65524.00000,16452.45000,0.00000,105.66850,0.00000,0.00091,0.00000,0.00000,0.00000,1159.00000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,97904.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,523.80000,0.00000,0.00000,0.00000,12.00000,0.00000,6648.50000,0.00000,8096.00000,0.00000,0.00000,100.00000,0.08300,0.00000,0.10000,238.00000,0.00000,0.00000,0.00000,2391.00000,1159.00000,1159.00000,45636.00000,8228.00000,553.69700,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,129.60331,32005.77069,0.00091,0.00000,0.00000,319.05661,64.04105,21.34701,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39721562.00000,39751250.50000,2391.00000,42836.50000,0.00000,13412.69416,13473.94082,0.00000,31974.04070,151.05997,318.85661,0.00000,0.00000,0.00000,0.00000,0.00000,31974.04070,151.05997,318.85661,0.00000,0.00000,0.00000,0.00000,1.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,319.05994,0.00000,637.91321,318.85994,2874.76613,0.05333,0.00000,318.85994,9597.86154,1521256796.00000,10.00000,0.00000,300.00006
45.00000,45.00000,0.00000,0.00000,0.00000,0.00000,74237094.50000,30242.00000,74341010.00000,29966.50000,1830.00000,764.00000,2.00000,764.00000,2.00000,38.00000,30244.00000,30244.00000,64675.00000,29969.00000,0.00000,65525.00000,19557.20000,0.00000,140.07300,0.00000,0.00091,0.00000,0.00000,0.00000,2452.00000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,106144.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,712.70000,0.00000,0.00000,0.00000,11.00000,0.00000,6601.00000,0.00000,10016.00000,0.00000,0.00000,100.00000,0.07600,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,2343.00000,2452.00000,2452.00000,47556.00000,10148.00000,655.94050,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,164.81662,40696.24195,0.00091,0.00000,0.00000,405.63155,76.43384,25.47794,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,55986549.50000,56028255.50000,2343.00000,44133.00000,0.00000,16998.53358,15156.50572,0.00000,40656.07197,192.11161,405.43655,0.00000,0.00000,0.00000,0.00000,0.00000,40656.07197,192.11161,405.43655,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,405.63322,0.00000,811.06644,405.43655,3649.78731,0.05333,0.00000,405.43655,12157.80493,1521256898.00000,10.00000,0.00000,300.00009
54.25000,54.25000,0.00000,0.00000,0.00000,0.00000,93766828.50000,37553.50000,93893360.50000,37194.50000,1812.00000,762.50000,2.00000,762.50000,2.00000,47.00000,37556.00000,37556.00000,81350.00000,37197.00000,1.00000,65525.00000,23343.75000,0.00000,183.77700,0.00000,0.00091,0.00000,0.00000,0.00000,6573.00000,0.00000,0.00091,0.00000,0.10000,37408.00000,0.00000,13.00000,121712.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,908.80000,0.00000,0.00000,0.00000,11.00000,0.00000,7423.00000,0.00000,13864.00000,0.00000,0.00000,100.00000,0.07050,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,3033.00000,6573.00000,6573.00000,51404.00000,13996.00000,758.61350,0.00000,0.00000,0.00091,0.00000,0.00000,0.00000,222.76995,55007.95032,0.00091,0.00000,0.00000,548.20987,95.25484,31.75161,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,77424436.00000,77490700.50000,3033.00000,48371.00000,0.00000,22865.12459,17637.31249,0.00000,54953.86366,259.67327,548.01987,0.00000,0.00000,0.00000,0.00000,0.00000,54953.86366,259.67327,548.01987,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,548.21320,0.00000,1096.22641,548.01987,4926.64550,0.05333,0.00000,548.01987,16337.64613,1521257000.50000,10.00000,0.00000,300.00007
65.50000,65.50000,0.00000,0.00000,0.00000,0.00000,83364626.00000,60605.00000,74752785.00000,73930.00000,1207.00000,760.00000,2.00000,760.00000,2.00000,54.00000,60605.00000,60606.00000,89652.00000,75191.00000,0.00000,61325.50000,30019.95000,0.00000,109.70250,0.00000,0.00046,0.00000,0.00000,0.00000,138.00000,0.00000,0.00046,0.00000,0.05000,37408.00000,0.00000,4210.50000,442840.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,645.90000,0.00000,0.00000,0.00000,4210.50000,0.00000,91006.00000,10.00000,90986.00000,0.00000,0.00000,100.00000,0.15600,0.00000,9.75000,25602.00000,0.00000,0.00000,0.00000,78371.00000,138.00000,138.00000,128526.00000,91118.00000,414.61800,0.00000,0.00000,0.00046,0.00000,0.00000,0.00000,132.77998,32787.64019,0.00046,0.00000,0.00000,326.74495,54.36028,18.12009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46879940.00000,46917953.00000,78371.00000,50155.00000,0.00000,13557.26468,9542.66527,0.00000,32755.46853,154.77998,326.64995,0.00000,0.00000,0.00000,0.00000,0.00000,32755.46853,154.77998,326.64995,0.00000,0.00000,0.00000,0.00000,1741.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,326.74495,0.00000,653.39324,326.64829,2931.36457,0.02667,0.00000,326.64829,9674.49525,1521257088.50000,10.50000,0.00000,150.00002
33.50000,33.50000,0.00000,0.00000,0.00000,0.00000,53504981.00000,20033.00000,53580370.50000,19909.50000,1865.50000,759.00000,2.00000,759.00000,2.00000,27.00000,20035.50000,20035.50000,46242.00000,19911.50000,0.00000,65525.00000,28549.90000,0.00000,13.05500,0.00000,0.00000,0.00000,0.00000,0.00000,1437.00000,0.00000,0.00000,0.00000,0.00000,37408.00000,0.00000,13.00000,98944.00000,65536.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,509.75000,0.00000,0.00000,0.00000,11.00000,0.00000,6660.00000,0.00000,8432.00000,0.00000,0.00000,100.00000,0.06200,0.00000,0.10000,216.00000,0.00000,0.00000,0.00000,2389.00000,1437.00000,1437.00000,45972.00000,8564.00000,50.81200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6379080.00000,6388143.00000,2389.00000,43089.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1521257262.00000,10.00000,0.00000,0.00000
