infras.cpu,infras.cpu_0,infras.eth0_rcv_byte,infras.eth0_rcv_pkt,infras.eth0_snd_byte,infras.eth0_snd_pkt,infras.eth1_rcv_byte,infras.eth1_rcv_pkt,infras.eth1_snd_byte,infras.eth1_snd_pkt,infras.eth2_rcv_byte,infras.eth2_rcv_pkt,infras.eth2_snd_byte,infras.eth2_snd_pkt,infras.freeMem,infras.lo_rcv_byte,infras.lo_rcv_pkt,infras.lo_snd_byte,infras.lo_snd_pkt,infras.suricata_proc,infras.upper_rcv_byte,infras.upper_rcv_pkt,infras.upper_snd_byte,infras.upper_snd_pkt,scale,vnf.app_layer.flow.dcerpc_tcp,vnf.app_layer.flow.dcerpc_udp,vnf.app_layer.flow.dns_tcp,vnf.app_layer.flow.dns_udp,vnf.app_layer.flow.failed_tcp,vnf.app_layer.flow.failed_udp,vnf.app_layer.flow.ftp,vnf.app_layer.flow.http,vnf.app_layer.flow.imap,vnf.app_layer.flow.msn,vnf.app_layer.flow.smb,vnf.app_layer.flow.smtp,vnf.app_layer.flow.ssh,vnf.app_layer.flow.tls,vnf.app_layer.tx.dns_tcp,vnf.app_layer.tx.dns_udp,vnf.app_layer.tx.http,vnf.app_layer.tx.smtp,vnf.app_layer.tx.tls,vnf.decoder.avg_pkt_size,vnf.decoder.bytes,vnf.decoder.dce.pkt_too_small,vnf.decoder.erspan,vnf.decoder.ethernet,vnf.decoder.gre,vnf.decoder.icmpv4,vnf.decoder.icmpv6,vnf.decoder.invalid,vnf.decoder.ipraw.invalid_ip_version,vnf.decoder.ipv4,vnf.decoder.ipv4_in_ipv6,vnf.decoder.ipv6,vnf.decoder.ipv6_in_ipv6,vnf.decoder.ltnull.pkt_too_small,vnf.decoder.ltnull.unsupported_type,vnf.decoder.max_pkt_size,vnf.decoder.mpls,vnf.decoder.null,vnf.decoder.pkts,vnf.decoder.ppp,vnf.decoder.pppoe,vnf.decoder.raw,vnf.decoder.sctp,vnf.decoder.sll,vnf.decoder.tcp,vnf.decoder.teredo,vnf.decoder.udp,vnf.decoder.vlan,vnf.decoder.vlan_qinq,vnf.defrag.ipv4.fragments,vnf.defrag.ipv4.reassembled,vnf.defrag.ipv4.timeouts,vnf.defrag.ipv6.fragments,vnf.defrag.ipv6.reassembled,vnf.defrag.ipv6.timeouts,vnf.defrag.max_frag_hits,vnf.detect.alert,vnf.dns.memcap_global,vnf.dns.memcap_state,vnf.dns.memuse,vnf.flow.emerg_mode_entered,vnf.flow.emerg_mode_over,vnf.flow.memcap,vnf.flow.memuse,vnf.flow.spare,vnf.flow.tcp_reuse,vnf.flow_mgr.bypassed_pruned,vnf.flow_mgr.closed_pruned,vnf.flow_mgr.est_pruned,vnf.flow_mgr.flows_checked,vnf.flow_mgr.flows_notimeout,vnf.flow_mgr.flows_removed,vnf.flow_mgr.flows_timeout,vnf.flow_mgr.flows_timeout_inuse,vnf.flow_mgr.new_pruned,vnf.flow_mgr.rows_busy,vnf.flow_mgr.rows_checked,vnf.flow_mgr.rows_empty,vnf.flow_mgr.rows_maxlen,vnf.flow_mgr.rows_skipped,vnf.http.memcap,vnf.http.memuse,vnf.ips.accepted,vnf.ips.blocked,vnf.ips.rejected,vnf.ips.replaced,vnf.tcp.invalid_checksum,vnf.tcp.memuse,vnf.tcp.no_flow,vnf.tcp.pseudo,vnf.tcp.pseudo_failed,vnf.tcp.reassembly_gap,vnf.tcp.reassembly_memuse,vnf.tcp.rst,vnf.tcp.segment_memcap_drop,vnf.tcp.sessions,vnf.tcp.ssn_memcap_drop,vnf.tcp.stream_depth_reached,vnf.tcp.syn,vnf.tcp.synack,vnf.time_stamp_sec,vnf.time_stamp_sec_delta,vnf.uptime
30.00000,30.00000,0.00000,0.00000,0.00000,0.00000,2638300.00000,2474.50000,2636756.50000,2473.50000,2644485.00000,2481.00000,2639583.50000,2476.00000,1455.00000,0.00000,0.00000,0.00000,0.00000,11.50000,0.00000,4958.50000,0.00000,4951.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4955.05556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5213812.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,4957.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4957.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4955.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1485.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3296.00000,-0.33333,0.00000,0.00000,0.00000,0.00000,17.77778,19.44444,0.00000,0.00000,0.00000,4401.44444,0.00000,0.00000,0.00000,0.11111,-2.11111,0.00000,0.00000,4957.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
28.50000,28.50000,0.00000,0.00000,0.00000,0.00000,5267593.00000,4942.00000,5267487.00000,4941.00000,5269721.00000,4943.00000,5269614.00000,4943.00000,1434.00000,0.00000,0.00000,0.00000,0.00000,12.50000,0.00000,9886.00000,0.00000,9887.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3347.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9828375.22222,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,9343.41667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9343.41667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9341.52778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2792.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1040.00000,-12.66667,0.00000,0.00000,0.00000,0.00000,-6.83333,-8.66667,0.61111,0.61111,0.00000,3014.16667,0.00000,0.00000,-2.05556,0.00000,0.55556,0.00000,0.00000,9343.41667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
37.00000,37.00000,0.00000,0.00000,0.00000,0.00000,7875025.00000,7387.00000,7875025.00000,7387.00000,7879075.50000,7391.50000,7879182.50000,7391.50000,1421.50000,0.00000,0.00000,0.00000,0.00000,15.50000,0.00000,14780.00000,0.00000,14780.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14719152.44444,0.00000,0.00000,0.00000,0.00000,2.11111,0.00000,0.00000,0.00000,13992.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13992.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13990.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4184.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1232.00000,0.27778,0.00000,0.00000,0.00000,0.00000,31.77778,32.83333,-0.11111,-0.11111,0.00000,100.61111,0.00000,0.00000,0.00000,0.00000,-14.66667,0.00000,0.00000,13992.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
28.00000,28.00000,0.00000,0.00000,0.00000,0.00000,3268634.00000,3066.00000,3268528.00000,3066.00000,3267986.00000,3066.00000,3267880.00000,3066.00000,1419.00000,0.00000,0.00000,0.00000,0.00000,11.00000,0.00000,6136.00000,0.00000,6135.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2677.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7120514.66667,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,6769.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6769.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6767.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2024.77778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5920.00000,3.22222,0.00000,0.00000,0.00000,0.00000,15.55556,11.55556,-0.44444,-0.44444,0.00000,3309.77778,0.00000,0.00000,0.88889,0.00000,-3.55556,0.00000,0.00000,6769.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
33.00000,33.00000,0.00000,0.00000,0.00000,0.00000,6131635.50000,5752.00000,6131742.00000,5752.00000,6134038.00000,5754.00000,6133984.50000,5754.00000,1418.00000,0.00000,0.00000,0.00000,0.00000,15.00000,0.00000,11507.50000,0.00000,11507.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3867.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12098626.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,11501.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11501.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11499.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3436.55556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,544.00000,31.66667,0.00000,0.00000,0.00000,0.00000,-13.66667,-15.66667,-0.27778,-0.27778,0.00000,3121.00000,0.00000,0.00000,-0.33333,0.00000,2.44444,0.00000,0.00000,11501.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
43.00000,43.00000,0.00000,0.00000,0.00000,0.00000,9500568.00000,8912.00000,9500675.00000,8912.00000,9506964.00000,8918.00000,9506862.00000,8918.00000,1417.00000,0.00000,0.00000,0.00000,0.00000,18.50000,0.00000,17833.00000,0.00000,17833.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,114.30556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,18756523.60000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,17830.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17830.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17828.30000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5334.62778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1456.00000,-2.50000,0.00000,0.00000,0.00000,0.00000,-18.55556,-18.22222,-0.11111,-0.11111,0.00000,114.82222,0.00000,0.00000,-0.11111,0.00000,14.61111,0.00000,0.00000,17830.27778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
59.75000,59.75000,0.00000,0.00000,0.00000,0.00000,13021088.50000,12215.00000,13021142.50000,12215.00000,13030521.00000,12224.00000,13030467.50000,12224.00000,1416.00000,0.00000,0.00000,0.00000,0.00000,26.75000,0.00000,24444.00000,0.00000,24444.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,134.77778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,25725941.77778,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,24455.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,24455.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,24453.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7319.94444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,736.00000,0.88889,0.00000,0.00000,0.00000,0.00000,-26.33333,-26.77778,0.44444,0.44444,0.00000,126.44444,0.00000,0.00000,0.11111,0.00000,12.88889,0.00000,0.00000,24455.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
73.00000,73.00000,0.00000,0.00000,0.00000,0.00000,16542782.00000,15519.00000,16542355.00000,15518.00000,16557173.00000,15532.00000,16558132.00000,15533.00000,1414.00000,0.00000,0.00000,0.00000,0.00000,33.50000,0.00000,31051.00000,0.00000,31050.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30846195.55556,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,29322.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29322.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29320.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8774.86111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1040.00000,-0.30556,0.00000,0.00000,0.00000,0.00000,43.25556,43.19444,-0.19444,-0.19444,0.00000,25.77778,0.00000,0.00000,0.00000,0.00000,-7.57778,0.00000,0.00000,29322.30556,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
84.75000,84.75000,0.00000,0.00000,0.00000,0.00000,20014211.00000,18775.00000,20014051.00000,18775.00000,19999818.00000,18761.50000,19999764.50000,18762.00000,1413.00000,0.00000,0.00000,0.00000,0.00000,39.25000,0.00000,37534.50000,0.00000,37535.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39467048.88889,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,37517.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37517.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37515.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11233.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,64.00000,0.05556,0.00000,0.00000,0.00000,0.00000,77.00000,79.55556,-0.11111,-0.11111,0.00000,26.55556,0.00000,0.00000,0.00000,0.00000,-19.77778,0.00000,0.00000,37517.11111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
87.50000,87.50000,0.00000,0.00000,0.00000,0.00000,23303407.00000,21860.50000,23297331.00000,21855.00000,23281767.00000,21840.50000,23273188.00000,21832.00000,1412.00000,0.00000,0.00000,0.00000,0.00000,41.25000,0.00000,43683.50000,0.00000,43683.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.22222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45898275.55556,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,43630.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43630.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43628.44444,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13061.88889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,288.00000,0.11111,0.00000,0.00000,0.00000,0.00000,-75.88889,-76.05556,-0.11111,-0.11111,0.00000,9.66667,0.00000,0.00000,0.00000,0.00000,16.44444,0.00000,0.00000,43630.38889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000
